date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:09	2271/2271	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jun%202020%2018:32:25%20GMT	http://uygunhesap.tk/assets/images/ui/warning.svg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/images/ui/warning.svg	(from http://uygunhesap.tk/assets/css/theme.min.css)
21:32:09	2271/2271	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jun%202020%2018:32:25%20GMT	http://uygunhesap.tk/assets/images/ui/danger.svg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/images/ui/danger.svg	(from http://uygunhesap.tk/assets/css/theme.min.css)
21:32:13	72570/72570	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2014:12:33%20GMT	http://uygunhesap.tk/assets/uploads/category-3.jpg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/uploads/category-3.jpg	(from http://uygunhesap.tk/)
21:32:13	148461/148461	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20May%202020%2014:58:12%20GMT	http://uygunhesap.tk/assets/uploads/category-8.jpg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/uploads/category-8.jpg	(from http://uygunhesap.tk/)
21:32:26	76548/76548	---M--	200	added ('OK')	font/woff2	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.woff2	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:27	111058/111058	---M--	200	added ('OK')	image/png	date:Tue,%2019%20May%202020%2005:22:06%20GMT	http://uygunhesap.tk/assets/img/header-bg.png	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/img/header-bg.png	(from http://uygunhesap.tk/assets/css/theme.min.css)
21:32:30	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.eot	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.eot	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:37	715890/715890	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.svg	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.svg	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:39	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400.eot?	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-brands-400d41d.eot	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
21:32:43	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2004%20Feb%202020%2021:05:48%20GMT	http://uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.eot	C:/Users/vestel/Desktop/github/uygunhesap.tk/assets/fontawesome/webfonts/fa-regular-400.eot	(from http://uygunhesap.tk/assets/fontawesome/css/all.min.css)
